Configuration,Question_ID,Question,Answer,Retrieval_Time_ms,Generation_Time_ms,Total_Time_ms,Input_Tokens,Output_Tokens,CO2_Emissions_kg,Accuracy,Retrieved_Chunks_Count
Optimized,1,What datasets were used to evaluate Agentless?,The datasets used to evaluate Agentless are SWE-benchLite and SWE-bench Verified.,44.9221134185791,819.1561698913574,864.0782833099365,1636,21,7.311421197169813e-06,Pass,3
Optimized,2,How many samples were used in greedy sampling for patch generation?,The context does not specify the number of samples used in greedy sampling for patch generation.,12.619733810424805,385.85424423217773,398.47397804260254,1640,18,3.8357321028218e-06,Fail,3
Optimized,3,How many bugs were fixed by Agentless in total on SWE-bench Lite?,96,15.192031860351562,142.44794845581055,157.6399803161621,1643,4,1.2721599937792626e-06,Pass,3
Optimized,4,What are the different patch validation strategies employed by Agentless?,The context provided does not mention any different patch validation strategies employed by Agentless.,12.317657470703125,365.4041290283203,377.72178649902344,1640,17,3.897990615957054e-06,Fail,3
Optimized,5,Which baselines are used to compare performance of Agentless?,"The baselines used to compare performance of Agentless are CodeStoryAide, AutoCodeRover-v2, MarsCode, RepoGraph, Honeycomb, Moatless-claude3, and others.",14.602422714233398,837.2552394866943,851.8576622009277,1638,44,8.066285825356603e-06,Pass,3
Optimized,6,What is the file level localization accuracy in Agentless?,The file level localization accuracy in Agentless is 78.67%.,11.992692947387695,365.01431465148926,377.00700759887695,1638,17,3.503318068010261e-06,Pass,3
Optimized,7,"Is Agentless being adopted by any industry partner? If yes, who?","Yes, AGENTLESS has been adopted by OpenAI as the default approach when showcasing the real-world coding performance of GPT-4o on their new SWE-bench Verified benchmark.",16.933441162109375,755.0737857818604,772.0072269439697,1642,39,7.398290081679938e-06,Pass,3
Optimized,8,Which LLM was used by Agentless for the experiments?,The context provided does not specify which LLM was used by Agentless for the experiments.,12.202262878417969,404.3087959289551,416.51105880737305,1639,19,4.0377550190855005e-06,Fail,3
Optimized,9,Which embedding model Agentless use for localization?,The embedding model used by AGENTLESS for localization is OpenAI's text-embedding-3-small.,18.333911895751953,457.411527633667,475.74543952941895,1637,22,4.726578898825822e-06,Pass,3
Optimized,10,What does SBFL stand for?,The provided context does not mention what SBFL stands for.,38.68412971496582,299.09253120422363,337.77666091918945,1634,13,3.1965594019575576e-06,Fail,3
Baseline,1,What datasets were used to evaluate Agentless?,The datasets used to evaluate Agentless are SWE-benchLite and SWE-bench Verified.,10.33782958984375,518.1362628936768,528.4740924835205,2700,21,5.289563566413396e-06,Pass,10
Baseline,2,How many samples were used in greedy sampling for patch generation?,The context does not specify the exact number of samples used in greedy sampling for patch generation.,8.136510848999023,483.1891059875488,491.32561683654785,2706,19,4.923252621275437e-06,Fail,10
Baseline,3,How many bugs were fixed by Agentless in total on SWE-bench Lite?,96,7.186651229858398,192.0621395111084,199.2487907409668,2709,3,2.3135979754815545e-06,Pass,10
Baseline,4,What are the different patch validation strategies employed by Agentless?,"The different patch validation strategies employed by Agentless are: 1) using reproduction tests to replicate the original error and help select candidate patches, and 2) using existing regression tests for patch ranking/selection.",13.101816177368164,913.0992889404297,926.2011051177979,2707,43,1.0359753111838695e-05,Pass,10
Baseline,5,Which baselines are used to compare performance of Agentless?,"The baselines used to compare performance of Agentless include 26 agent-based approaches, which represent the state-of-the-art performance on SWE-bench. These baselines include both open-source and commercial/closed-source approaches.",6.350517272949219,981.2333583831787,987.5838756561279,2704,47,9.555916548198892e-06,Pass,10
Baseline,6,What is the file level localization accuracy in Agentless?,78.67%,7.725000381469727,265.57183265686035,273.2968330383301,2706,7,2.6153476071940537e-06,Pass,10
Baseline,7,"Is Agentless being adopted by any industry partner? If yes, who?","Yes, Agentless is being adopted by OpenAI.",7.009267807006836,353.6677360534668,360.67700386047363,2707,12,3.6169122741377232e-06,Pass,10
Baseline,8,Which LLM was used by Agentless for the experiments?,The context provided does not specify which LLM was used by AGENTLESS for the experiments.,7.439136505126953,501.5871524810791,509.02628898620605,2704,20,5.719473204404018e-06,Fail,10
Baseline,9,Which embedding model Agentless use for localization?,The context provided does not specify which embedding model AGENTLESS uses for localization.,6.6089630126953125,453.11975479125977,459.7287178039551,2703,17,4.966309436673607e-06,Fail,10
Baseline,10,What does SBFL stand for?,SBFL stands for Spectrum-based Fault Localization.,15.780925750732422,319.4692134857178,335.2501392364502,2701,10,3.5400660015004813e-06,Fail,10
